route_id,agency_id,route_short_name,route_long_name,route_type,route_url
001,grctm,001,Ponte Dos Carvalhos / Prazeres (Barra De Jangada),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=001
011,grctm,011,Piedade / Derby,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=011
013,grctm,013,Jardim Beira Rio (Pina),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=013
014,grctm,014,Brasília (Cd. Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=014
018,grctm,018,Brasília Teimosa,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=018
020,grctm,020,Candeias / Ti Tancredo Neves,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=020
021,grctm,021,Ti Joana Bezerra / Shopping Riomar,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=021
023,grctm,023,Ti Tancredo Neves / Ti Aeroporto,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=023
024,grctm,024,Ti Tancredo Neves (Circular Boa Viagem),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=024
026,grctm,026,Ti Aeroporto / Ti Joana Bezerra,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=026
030,grctm,030,Ti Rio Doce / Barra De Jangada,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=030
031,grctm,031,Shopping Center (Ter. Res. Boa Viagem),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=031
032,grctm,032,Setúbal (Conde Da Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=032
034,grctm,034,Curcurana / Ti Cajueiro Seco,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=034
036,grctm,036,Aeroporto (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=036
037,grctm,037,Comportas / Ti Cajueiro Seco,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=037
038,grctm,038,Residencial Boa Viagem (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=038
039,grctm,039,Setúbal (Príncipe),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=039
041,grctm,041,Setúbal (Opcional),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=041
043,grctm,043,Aeroporto / Tacaruna (Derby),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=043
044,grctm,044,Massangana (Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=044
049,grctm,049,Ti Tip / Moreno (Br-232),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=049
050,grctm,050,Ti Pe-15 / Boa Viagem,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=050
061,grctm,061,Piedade,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=061
062,grctm,062,Jardim Piedade,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=062
063,grctm,063,Jardim Piedade (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=063
064,grctm,064,Piedade (Opcional),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=064
